Country,Commitment in U.A,Status,Source of Financing,Sector
Gambia,1995638.15,Completion,African Development Bank,Power
,,,,
Malawi,5000000.0,Completion,African Development Bank,Power
Egypt,5000000.0,Completion,African Development Bank,Power
Togo,2662052.4,Completion,African Development Bank,Power
Sudan,3999999.99,Completion,African Development Bank,Power
Benin,3500000.0,Completion,African Development Bank,Power
Eswatini,1500000.0,Completion,African Development Bank,Power
Morocco,3000000.0,Completion,African Development Bank,Power
Central African Republic,985273.8,Completion,,Power
Morocco,2800000.0,Completion,African Development Bank,Power
Malawi,3113141.41,Completion,,Power
